gen,best_FO,avg_FO
1,11391,-2.27898e+07
2,11391,-2.50527e+07
3,11391,-2.36241e+07
4,11391,-2.43153e+07
5,11391,-2.23456e+07
6,11391,-2.15137e+07
7,11391,-1.89856e+07
8,11391,-1.6331e+07
9,11391,-1.85356e+07
10,11391,-1.96514e+07
11,11391,-1.92435e+07
12,11391,-1.37364e+07
13,11391,-1.39072e+07
14,11391,-1.49277e+07
15,11391,-1.27636e+07
16,11391,-1.3334e+07
17,11391,-1.08254e+07
18,11391,-1.03472e+07
19,11391,-9.35952e+06
20,11391,-9.93336e+06
21,11391,-7.01871e+06
22,11391,-8.44531e+06
23,11391,-9.50311e+06
24,11391,-1.10094e+07
25,11391,-1.18866e+07
26,11391,-1.46479e+07
27,11391,-1.08641e+07
28,11391,-8.23186e+06
29,11391,-1.09311e+07
30,11391,-9.2434e+06
31,11391,-7.17518e+06
32,11391,-7.62965e+06
33,11391,-6.84539e+06
34,11391,-8.15717e+06
35,11391,-9.7697e+06
36,11391,-9.25131e+06
37,11391,-8.23085e+06
38,11391,-1.06551e+07
39,11391,-1.2369e+07
40,11391,-9.70081e+06
41,11391,-9.03758e+06
42,11391,-1.20199e+07
43,11391,-8.50307e+06
44,11391,-8.89856e+06
45,11391,-6.19683e+06
46,11391,-5.73543e+06
47,11391,-7.33281e+06
48,11391,-1.0819e+07
49,11391,-1.02325e+07
50,11391,-1.20427e+07
51,11391,-1.12295e+07
52,11391,-7.40687e+06
53,11391,-7.18765e+06
54,11391,-8.70216e+06
55,11391,-9.78697e+06
56,11391,-8.66583e+06
57,11391,-7.46276e+06
58,11391,-5.05377e+06
59,11391,-8.61872e+06
60,11391,-6.7596e+06
61,11391,-5.37441e+06
62,11391,-5.90999e+06
63,11391,-7.2838e+06
64,11391,-1.25425e+07
65,11391,-9.71536e+06
66,11391,-7.75438e+06
67,11391,-5.51956e+06
68,11391,-7.25013e+06
69,11391,-7.8351e+06
70,11391,-9.97295e+06
71,11391,-8.53394e+06
72,11391,-9.01048e+06
73,11391,-8.83994e+06
74,11391,-7.37921e+06
75,11391,-8.6367e+06
76,11391,-5.68154e+06
77,11391,-7.69399e+06
78,11391,-1.09465e+07
79,11391,-7.4028e+06
80,11391,-8.64577e+06
81,11391,-6.34636e+06
82,11391,-8.27157e+06
83,11391,-8.38609e+06
84,11391,-1.03173e+07
85,11391,-1.15703e+07
86,11391,-1.00221e+07
87,11391,-9.74952e+06
88,11391,-9.8475e+06
89,11391,-8.65849e+06
90,11391,-8.20806e+06
91,11391,-9.34949e+06
92,11391,-8.58569e+06
93,11391,-9.07719e+06
94,11391,-8.08957e+06
95,11391,-1.15093e+07
96,11391,-8.62069e+06
97,11391,-9.98649e+06
98,11391,-1.24558e+07
99,11391,-1.26386e+07
100,11391,-1.00584e+07
101,11391,-6.83284e+06
102,11391,-7.91958e+06
103,11391,-6.70077e+06
104,11391,-9.94559e+06
105,11391,-8.71759e+06
106,11391,-8.81023e+06
107,11391,-8.42386e+06
108,11391,-6.99093e+06
109,11391,-7.68818e+06
110,11391,-8.52771e+06
111,11391,-9.04141e+06
112,11391,-8.7658e+06
113,11391,-9.54273e+06
114,11391,-8.19247e+06
115,11391,-9.02161e+06
116,11391,-8.3689e+06
117,11391,-9.94384e+06
118,11391,-9.02159e+06
119,11391,-8.54558e+06
120,11391,-7.13857e+06
121,11391,-1.11323e+07
122,11391,-1.0872e+07
123,11391,-9.74333e+06
