gen,best_FO,avg_FO
1,9407,-7.05599e+08
2,9407,-7.80435e+08
3,9407,-8.71476e+08
4,9407,-8.71408e+08
5,9407,-8.44918e+08
6,9407,-8.06561e+08
7,9407,-7.20342e+08
8,9407,-6.33694e+08
9,9407,-7.11684e+08
10,9407,-6.71157e+08
11,9407,-5.8873e+08
12,9407,-5.02969e+08
13,9407,-4.75447e+08
14,9407,-5.87129e+08
15,9407,-5.15777e+08
16,9407,-6.43864e+08
17,9407,-6.43024e+08
18,9407,-6.73252e+08
19,9407,-6.64832e+08
20,9407,-5.69686e+08
21,9407,-6.48038e+08
22,9407,-6.27086e+08
23,9407,-5.59744e+08
24,9407,-4.98207e+08
25,9407,-4.99483e+08
26,9407,-4.72293e+08
27,9407,-4.79156e+08
28,9407,-4.01344e+08
29,9407,-3.70345e+08
30,9407,-3.84945e+08
31,9407,-3.41472e+08
32,9407,-3.09682e+08
33,9407,-3.32152e+08
34,9407,-3.83993e+08
35,9407,-3.91911e+08
36,9407,-4.75546e+08
37,9407,-4.38782e+08
38,9407,-3.99156e+08
39,9407,-3.57317e+08
40,9407,-4.05002e+08
41,9407,-4.64686e+08
42,9407,-5.04206e+08
43,9407,-4.80293e+08
44,9407,-4.92685e+08
45,9407,-4.81651e+08
46,9407,-5.9579e+08
47,9407,-5.00834e+08
48,9407,-5.01111e+08
49,9407,-4.79774e+08
50,9407,-4.0349e+08
51,9407,-3.49079e+08
52,9407,-2.94183e+08
53,9407,-3.2683e+08
54,9407,-3.44393e+08
55,9407,-3.23905e+08
56,9407,-3.20711e+08
57,9407,-3.96889e+08
58,9407,-3.42407e+08
59,9407,-3.35267e+08
60,9407,-3.68231e+08
61,9407,-4.15742e+08
62,9407,-4.14503e+08
63,9407,-4.03216e+08
64,9407,-4.05875e+08
65,9407,-2.96565e+08
66,9407,-3.6332e+08
67,9407,-3.56e+08
68,9407,-3.61163e+08
69,9407,-3.59583e+08
70,9407,-4.17646e+08
71,9407,-5.0267e+08
72,9407,-5.98721e+08
73,9407,-6.13892e+08
74,9407,-6.80527e+08
75,9407,-5.90251e+08
76,9407,-6.63214e+08
77,9407,-6.1214e+08
78,9407,-5.95086e+08
79,9407,-5.08448e+08
80,9407,-5.00639e+08
81,9407,-4.95031e+08
82,9407,-5.39607e+08
83,9407,-5.77424e+08
84,9407,-6.14559e+08
85,9407,-5.01447e+08
86,9407,-5.34839e+08
87,9407,-5.56046e+08
88,9407,-5.78025e+08
89,9407,-5.65428e+08
90,9407,-4.8986e+08
91,9407,-5.40555e+08
92,9407,-5.88116e+08
93,9407,-6.1847e+08
94,9407,-5.62759e+08
95,9407,-6.03211e+08
96,9407,-6.02454e+08
97,9407,-5.59772e+08
98,9407,-5.51868e+08
99,9407,-4.9225e+08
100,9407,-5.41057e+08
101,9407,-4.56323e+08
102,9407,-5.16518e+08
103,9407,-5.73441e+08
104,9407,-6.09651e+08
105,9407,-5.95843e+08
106,9407,-5.54425e+08
107,9407,-5.53275e+08
108,9407,-5.8185e+08
109,9407,-5.05341e+08
110,9407,-4.90738e+08
111,9407,-5.42497e+08
112,9407,-5.37961e+08
113,9407,-5.02836e+08
114,9407,-4.98713e+08
115,9407,-5.50507e+08
116,9407,-5.33002e+08
117,9407,-5.98386e+08
118,9407,-6.18259e+08
119,9407,-6.31227e+08
120,9407,-6.0345e+08
121,9407,-5.73342e+08
122,9407,-5.75885e+08
123,9407,-4.84769e+08
124,9407,-5.78202e+08
125,9407,-5.65285e+08
126,9407,-6.13143e+08
127,9407,-6.1701e+08
128,9407,-4.53923e+08
129,9407,-4.55019e+08
130,9407,-4.57084e+08
131,9407,-5.04137e+08
132,9407,-5.31289e+08
133,9407,-4.71479e+08
134,9407,-4.72093e+08
135,9407,-4.23638e+08
136,9407,-3.56135e+08
137,9407,-4.22426e+08
138,9407,-4.85953e+08
139,9407,-4.80823e+08
140,9407,-4.35436e+08
141,9407,-4.31313e+08
142,9407,-5.29303e+08
143,9407,-4.62135e+08
144,9407,-5.08829e+08
145,9407,-5.6636e+08
146,9407,-4.88304e+08
147,9407,-4.89308e+08
148,9407,-6.32944e+08
149,9407,-6.22883e+08
150,9407,-5.32371e+08
