gen,best_FO,avg_FO
1,10614,-8.48106e+07
2,10614,-9.88562e+07
3,10614,-1.06754e+08
4,10614,-1.01936e+08
5,10614,-1.02043e+08
6,10614,-9.87455e+07
7,10614,-9.55635e+07
8,10614,-9.18475e+07
9,10614,-8.28121e+07
10,10614,-8.19059e+07
11,10614,-7.88128e+07
12,10614,-7.03252e+07
13,10614,-4.74068e+07
14,10614,-4.76957e+07
15,10614,-5.50048e+07
16,10614,-5.80489e+07
17,10614,-4.61408e+07
18,10614,-3.99989e+07
19,10614,-3.94742e+07
20,10614,-4.5842e+07
21,10614,-4.4984e+07
22,10614,-4.05124e+07
23,10614,-4.58406e+07
24,10614,-5.47935e+07
25,10614,-5.74518e+07
26,10614,-5.06101e+07
27,10614,-5.41068e+07
28,10614,-4.31741e+07
29,10614,-4.93488e+07
30,10614,-5.68745e+07
31,10614,-5.71817e+07
32,10614,-6.55237e+07
33,10614,-6.36718e+07
34,10614,-5.96725e+07
35,10614,-5.99187e+07
36,10614,-5.98113e+07
37,10614,-5.66866e+07
38,10614,-4.98003e+07
39,10614,-4.27643e+07
40,10614,-4.24096e+07
41,10614,-4.24262e+07
42,10614,-4.50019e+07
43,10614,-5.00756e+07
44,10614,-5.2662e+07
45,10614,-6.15501e+07
46,10614,-6.94803e+07
47,10614,-7.52084e+07
48,10614,-7.70409e+07
49,10614,-6.79175e+07
50,10614,-6.22649e+07
51,10614,-4.42137e+07
52,10614,-5.11044e+07
53,10614,-4.68571e+07
54,10614,-5.47224e+07
55,10614,-6.6388e+07
56,10614,-5.65522e+07
57,10614,-5.75877e+07
58,10614,-5.67815e+07
59,10614,-4.87596e+07
60,10614,-4.97668e+07
61,10614,-5.38245e+07
62,10614,-5.67835e+07
63,10614,-4.9282e+07
64,10614,-5.16644e+07
65,10614,-4.75754e+07
66,10614,-5.5054e+07
67,10614,-5.96986e+07
68,10614,-5.49624e+07
69,10614,-6.81818e+07
70,10614,-6.98867e+07
71,10614,-6.54108e+07
72,10614,-6.46288e+07
73,10614,-6.67324e+07
74,10614,-6.00517e+07
75,10614,-5.96417e+07
76,10614,-5.51109e+07
77,10614,-6.4748e+07
78,10614,-6.36558e+07
79,10614,-7.16156e+07
80,10614,-6.26072e+07
81,10614,-6.24961e+07
82,10614,-6.28738e+07
83,10614,-6.35559e+07
84,10614,-6.02221e+07
85,10614,-5.96067e+07
86,10614,-4.81871e+07
87,10614,-4.70864e+07
88,10614,-5.13448e+07
89,10614,-4.94976e+07
90,10614,-5.90484e+07
91,10614,-4.76816e+07
92,10614,-5.5224e+07
93,10614,-5.53416e+07
94,10614,-5.86366e+07
95,10614,-4.90025e+07
96,10614,-5.48696e+07
97,10614,-4.74855e+07
98,10614,-4.48441e+07
99,10614,-4.59004e+07
100,10614,-3.11992e+07
101,10614,-3.89849e+07
102,10614,-3.56012e+07
103,10614,-4.03297e+07
104,10614,-4.03861e+07
105,10614,-3.88665e+07
106,10614,-3.46617e+07
107,10614,-3.35383e+07
108,10614,-3.76803e+07
109,10614,-3.6962e+07
110,10614,-4.07874e+07
111,10614,-4.45404e+07
112,10614,-4.93459e+07
113,10614,-4.36238e+07
114,10614,-3.78196e+07
115,10614,-3.44218e+07
116,10614,-4.00519e+07
117,10614,-4.56644e+07
118,10614,-4.70436e+07
119,10614,-4.50825e+07
120,10614,-3.94487e+07
121,10614,-2.56154e+07
122,10614,-2.46944e+07
123,10614,-3.18382e+07
124,10614,-4.06733e+07
125,10614,-4.9327e+07
126,10614,-5.35142e+07
127,10614,-6.06308e+07
128,10614,-5.49237e+07
129,10614,-4.68992e+07
130,10614,-4.56871e+07
131,10614,-3.85029e+07
