iter,best_FO
34,11335
68,11335
102,11335
136,11335
170,11335
204,11335
238,11335
272,11335
306,11335
340,11335
374,11335
408,11335
442,11335
476,11335
510,11335
544,11335
578,11335
612,11335
646,11335
680,11335
714,11335
748,11335
782,11335
816,11335
850,11335
884,11335
918,11335
952,11335
986,11335
1020,11335
1054,11335
1088,11335
1122,11335
1156,11335
1190,11335
1224,11335
1258,11335
1292,11335
1326,11335
1360,11335
1394,11335
1428,11335
1462,11335
1496,11335
1530,11335
1564,11335
1598,11335
1632,11383
1666,11402
1700,11402
1734,11402
1768,11402
1802,11402
1836,11402
1870,11402
1904,11402
1938,11402
1972,11402
2006,11402
2040,11402
2074,11402
2108,11402
2142,11752
2176,11752
2210,11752
2244,11752
2278,11752
2312,11752
2346,11752
2380,11752
2414,11752
2448,11752
2482,11752
2516,11752
2550,11752
2584,11752
2618,11752
2652,11752
2686,11752
2720,11752
2754,11752
2788,11752
2822,11752
2856,11752
2890,11752
2924,11752
2958,11752
2992,11752
3026,11752
3060,11752
3094,11752
3128,11752
3162,11752
3196,11752
3230,11752
3264,11752
3298,11752
3332,11752
3366,11752
3400,11752
3434,11752
3468,11752
3502,11752
3536,11752
3570,11752
3604,11752
3638,11752
3672,11752
3706,11752
3740,11752
3774,11752
3808,11752
3842,11752
3876,11752
3910,11752
3944,11752
3978,11752
4012,11752
4046,11752
4080,11752
4114,11752
4148,11752
4182,11752
4216,11752
4250,11752
4284,11752
4318,11752
4352,11752
4386,11752
4420,11752
4454,11752
4488,11752
4522,11752
4556,11752
4590,11752
4624,11752
4658,11752
4692,11752
4726,11752
4760,11752
4794,11752
4828,11752
4862,11752
4896,11752
4930,11752
4964,11752
4998,11752
5032,11752
5066,11752
5100,11752
5134,11752
5168,11752
5202,11752
5236,11752
5270,11752
5304,11752
5338,11752
5372,11752
5406,11752
5440,11752
5474,11752
5508,11752
5542,11752
5576,11752
5610,11752
5644,11752
5678,11752
5712,11752
5746,11752
5780,11752
5814,11752
5848,11752
5882,11752
5916,11752
5950,11752
5984,11752
6018,11752
6052,11752
6086,11752
6120,11752
6154,11752
6188,11752
6222,11752
6256,11752
6290,11752
6324,11752
6358,11752
6392,11752
6426,11752
6460,11752
6494,11752
6528,11752
6562,11752
6596,11752
6630,11752
6664,11752
6698,11752
6732,11752
6766,11752
6800,11752
6834,11752
6868,11752
6902,11752
6936,11752
6970,11752
7004,11752
7038,11752
7072,11752
7106,11752
7140,11752
7174,11752
7208,11752
7242,11752
7276,11752
7310,11752
7344,11752
7378,11752
7412,11752
7446,11752
7480,11752
7514,11752
7548,11752
7582,11752
7616,11752
7650,11752
7684,11752
7718,11752
7752,11752
7786,11752
7820,11752
7854,11752
7888,11752
7922,11752
7956,11752
7990,11752
8024,11752
8058,11752
8092,11752
8126,11752
8160,11752
8194,11752
8228,11752
8262,11752
8296,11752
8330,11752
8364,11752
8398,11752
8432,11752
8466,11752
8500,11752
8534,11752
8568,11752
8602,11752
8636,11752
8670,11752
8704,11752
8738,11752
8772,11752
8806,11752
8840,11752
8874,11752
8908,11752
8942,11752
8976,11752
9010,11752
9044,11752
9078,11752
9112,11752
9146,11752
9180,11752
9214,11752
9248,11752
9282,11752
9316,11752
9350,11752
9384,11752
9418,11752
9452,11752
9486,11752
9520,11752
9554,11752
9588,11752
9622,11752
9656,11752
9690,11752
9724,11752
9758,11752
9792,11752
9826,11752
9860,11752
9894,11752
9928,11752
9962,11752
9996,11752
10030,11752
10064,11752
10098,11752
10132,11752
10166,11752
10200,11752
10234,11752
10268,11752
10302,11752
10336,11752
10370,11752
10404,11752
10438,11752
10472,11752
10506,11752
10540,11752
10574,11752
10608,11752
10642,11752
10676,11752
10710,11752
10744,11752
10778,11752
10812,11752
10846,11752
10880,11752
10914,11752
10948,11752
10982,11752
11016,11752
11050,11752
11084,11752
11118,11752
11152,11752
11186,11752
11220,11752
11254,11752
11288,11752
11322,11752
11356,11752
11390,11752
11424,11752
11458,11752
11492,11752
11526,11752
11560,11752
11594,11752
11628,11752
11662,11752
11696,11752
11730,11752
11764,11752
11798,11752
11832,11752
11866,11752
11900,11752
11934,11752
11968,11752
12002,11752
12036,11752
12070,11752
12104,11752
12138,11752
12172,11752
12206,11752
12240,11752
12274,11752
12308,11752
12342,11752
12376,11752
12410,11752
12444,11752
12478,11752
12512,11752
12546,11752
12580,11752
12614,11752
12648,11752
12682,11752
12716,11752
12750,11752
12784,11752
12818,11752
12852,11752
12886,11752
12920,11752
12954,11752
12988,11752
13022,11752
13056,11752
13090,11752
13124,11752
13158,11752
13192,11752
13226,11752
13260,11752
13294,11752
13328,11752
13362,11752
13396,11752
13430,11752
13464,11752
13498,11752
13532,11752
13566,11752
13600,11752
13634,11752
13668,11752
13702,11752
13736,11752
13770,11752
13804,11752
13838,11752
13872,11752
13906,11752
13940,11752
13974,11752
14008,11752
14042,11752
14076,11752
14110,11752
14144,11752
14178,11752
14212,11752
14246,11752
14280,11752
14314,11752
14348,11752
14382,11752
14416,11752
14450,11752
14484,11752
14518,11752
14552,11752
14586,11752
14620,11752
14654,11752
14688,11752
14722,11752
14756,11752
14790,11752
14824,11752
14858,11752
14892,11752
14926,11752
14960,11752
14994,11752
15028,11752
15062,11752
15096,11752
15130,11752
15164,11752
15198,11752
15232,11752
15266,11752
15300,11752
15334,11752
15368,11752
15402,11752
15436,11752
15470,11752
15504,11752
15538,11752
15572,11752
15606,11752
15640,11752
15674,11752
15708,11752
15742,11752
15776,11752
15810,11752
15844,11752
15878,11752
15912,11752
15946,11752
15980,11752
16014,11752
16048,11752
16082,11752
16116,11752
16150,11752
16184,11752
16218,11752
16252,11752
16286,11752
16320,11752
16354,11752
16388,11752
16422,11752
16456,11752
16490,11752
16524,11752
16558,11752
16592,11752
16626,11752
16660,11752
16694,11752
16728,11752
16762,11752
16796,11752
16830,11752
16864,11752
16898,11752
16932,11752
16966,11752
17000,11752
17000,11752
