iter,best_FO
74,10547
148,10547
222,10547
296,10547
370,10547
444,10547
518,10547
592,10547
666,10547
740,10547
814,10547
888,10547
962,10547
1036,10547
1110,10547
1184,10547
1258,10547
1332,10547
1406,10547
1480,10547
1554,10547
1628,10547
1702,10547
1776,10547
1850,10547
1924,10547
1998,10547
2072,10547
2146,10547
2220,10547
2294,10547
2368,10547
2442,10547
2516,10547
2590,10547
2664,10547
2738,10547
2812,10547
2886,10547
2960,10547
3034,10547
3108,10547
3182,10547
3256,10547
3330,10547
3404,10547
3478,10547
3552,10547
3626,10547
3700,10547
3774,10547
3848,10547
3922,10559
3996,10559
4070,10559
4144,10559
4218,10559
4292,10559
4366,10559
4440,10559
4514,10559
4588,10559
4662,10559
4736,10559
4810,10559
4884,10559
4958,10559
5032,10559
5106,10559
5180,10559
5254,10559
5328,10559
5402,10559
5476,10559
5550,10559
5624,10559
5698,10559
5772,10559
5846,10559
5920,10559
5994,10559
6068,10559
6142,10559
6216,10559
6290,10559
6364,10559
6438,10559
6512,10559
6586,10559
6660,10559
6734,10559
6808,10559
6882,10559
6956,10559
7030,10559
7104,10559
7178,10559
7252,10559
7326,10559
7400,10559
7474,10691
7548,10691
7622,10691
7696,10691
7770,10691
7844,10691
7918,10691
7992,10691
8066,10691
8140,10692
8214,10901
8288,10901
8362,10920
8436,10920
8510,10920
8584,10920
8658,10920
8732,10920
8806,10920
8880,10920
8954,10920
9028,10920
9102,10920
9176,10920
9250,10920
9324,10920
9398,10920
9472,10920
9546,10920
9620,10920
9694,10920
9768,10920
9842,10920
9916,10920
9990,10920
10064,10920
10138,10920
10212,10920
10286,10920
10360,10920
10434,10920
10508,10920
10582,10920
10656,10920
10730,10920
10804,10920
10878,10920
10952,10920
11026,10920
11100,10920
11174,10920
11248,10920
11322,10920
11396,10920
11470,10920
11544,10920
11618,10920
11692,10920
11766,10920
11840,10920
11914,10920
11988,10920
12062,10920
12136,10920
12210,10920
12284,10920
12358,10920
12432,10920
12506,10920
12580,10920
12654,10920
12728,10920
12802,10920
12876,10920
12950,10920
13024,10920
13098,10920
13172,10920
13246,10920
13320,10920
13394,10920
13468,10920
13542,10920
13616,10920
13690,10920
13764,10920
13838,10920
13912,10920
13986,10920
14060,10920
14134,10920
14208,10920
14282,10920
14356,10920
14430,10920
14504,10920
14578,10920
14652,10920
14726,10920
14800,10920
14874,10920
14948,10920
15022,10920
15096,10920
15170,10920
15244,10920
15318,10920
15392,10920
15466,10920
15540,10920
15614,10920
15688,10920
15762,10920
15836,10920
15910,10920
15984,10920
16058,10920
16132,10920
16206,10920
16280,10920
16354,10920
16428,10920
16502,10920
16576,10920
16650,10920
16724,10920
16798,10920
16872,10920
16946,10920
17020,10920
17094,10920
17168,10920
17242,10920
17316,10920
17390,10920
17464,10920
17538,10920
17612,10920
17686,10920
17760,10920
17834,10920
17908,10920
17982,10920
18056,10920
18130,10920
18204,10920
18278,10920
18352,10920
18426,10920
18500,10920
18574,10920
18648,10920
18722,10920
18796,10920
18870,10920
18944,10920
19018,10920
19092,10920
19166,10920
19240,10920
19314,10920
19388,10920
19462,10920
19536,10920
19610,10920
19684,10920
19758,10920
19832,10920
19906,10920
19980,10920
20054,10920
20128,10920
20202,10920
20276,10920
20350,10920
20424,10920
20498,10920
20572,10920
20646,10920
20720,10920
20794,10920
20868,10920
20942,10920
21016,10920
21090,10920
21164,10920
21238,10920
21312,10920
21386,10920
21460,10920
21534,10920
21608,10920
21682,10920
21756,10920
21830,10920
21904,10920
21978,10920
22052,10920
22126,10920
22200,10920
22274,10920
22348,10920
22422,10920
22496,10920
22570,10920
22644,10920
22718,10920
22792,10920
22866,10920
22940,10920
23014,10920
23088,10920
23162,10920
23236,10920
23310,10920
23384,10920
23458,10920
23532,10920
23606,10920
23680,10920
23754,10920
23828,10920
23902,10920
23976,10920
24050,10920
24124,10920
24198,10920
24272,10920
24346,10920
24420,10920
24494,10920
24568,10920
24642,10920
24716,10920
24790,10920
24864,10920
24938,10920
25012,10920
25086,10920
25160,10920
25234,10920
25308,10920
25382,10920
25456,10920
25530,10920
25604,10920
25678,10920
25752,10920
25826,10920
25900,10920
25974,10920
26048,10920
26122,10920
26196,10920
26270,10920
26344,10920
26418,10920
26492,10920
26566,10920
26640,10920
26714,10920
26788,10920
26862,10920
26936,10920
27010,10920
27084,10920
27158,10920
27232,10920
27306,10920
27380,10920
27454,10920
27528,10920
27602,10920
27676,10920
27750,10920
27824,10920
27898,10920
27972,10920
28046,10920
28120,10920
28194,10920
28268,10920
28342,10920
28416,10920
28490,10920
28564,10920
28638,10920
28712,10920
28786,10920
28860,10920
28934,10920
29008,10920
29082,10920
29156,10920
29230,10920
29304,10920
29378,10920
29452,10920
29526,10920
29600,10920
29674,10920
29748,10920
29822,10920
29896,10920
29970,10920
30044,10920
30118,10920
30192,10920
30266,10920
30340,10920
30414,10920
30488,10920
30562,10920
30636,10920
30710,10920
30784,10920
30858,10920
30932,10920
31006,10920
31080,10920
31154,10920
31228,10920
31302,10920
31376,10920
31450,10920
31524,10920
31598,10920
31672,10920
31746,10920
