instance,algorithm,start,run,seed,FO,feasible,time_ms,iters,best_iter
easy,greedy_det,-,1,0,10764,1,0.1453,0,0
easy,greedy_stoch,-,1,1,10837,1,0.1357,0,0
easy,greedy_stoch,-,2,2,10614,1,0.1188,0,0
easy,greedy_stoch,-,3,3,10325,1,0.112,0,0
easy,greedy_stoch,-,4,4,10687,1,0.1189,0,0
easy,greedy_stoch,-,5,5,10816,1,0.1133,0,0
easy,greedy_stoch,-,6,6,10902,1,0.1111,0,0
easy,greedy_stoch,-,7,7,10591,1,0.1118,0,0
easy,greedy_stoch,-,8,8,10675,1,0.1151,0,0
easy,greedy_stoch,-,9,9,11170,1,0.1189,0,0
easy,greedy_stoch,-,10,10,10971,1,0.1147,0,0
easy,sa,det,1,1,11752,1,46.6325,17000,2111
easy,sa,det,2,2,11819,1,41.337,17000,1902
easy,sa,det,3,3,12045,1,40.9952,17000,5146
easy,sa,det,4,4,11553,1,42.073,17000,3315
easy,sa,det,5,5,11553,1,41.6943,17000,2987
easy,sa,det,6,6,12045,1,37.3803,17000,5346
easy,sa,det,7,7,11752,1,37.5843,17000,1212
easy,sa,det,8,8,11710,1,46.0328,17000,7589
easy,sa,det,9,9,11481,1,47.5457,17000,2941
easy,sa,det,10,10,11710,1,38.7276,17000,4271
easy,sa,stoch,1,1,11752,1,43.5354,17000,1433
easy,sa,stoch,2,2,11581,1,43.6935,17000,7890
easy,sa,stoch,3,3,11553,1,45.902,17000,2702
easy,sa,stoch,4,4,11710,1,46.3063,17000,2755
easy,sa,stoch,5,5,11553,1,45.487,17000,8219
easy,sa,stoch,6,6,11752,1,43.1007,17000,2597
easy,sa,stoch,7,7,11752,1,48.8539,17000,2440
easy,sa,stoch,8,8,12045,1,42.0448,17000,3863
easy,sa,stoch,9,9,11752,1,42.73,17000,2521
easy,sa,stoch,10,10,11481,1,48.2756,17000,2668
easy,ga,greedy_stoch,1,1,11391,1,27.4158,250,0
easy,ga,greedy_stoch,2,2,11546,1,24.7212,250,0
easy,ga,greedy_stoch,3,3,11546,1,24.459,250,0
easy,ga,greedy_stoch,4,4,11546,1,27.3211,250,0
easy,ga,greedy_stoch,5,5,11296,1,28.7179,250,0
easy,ga,greedy_stoch,6,6,11277,1,26.0428,250,0
easy,ga,greedy_stoch,7,7,11296,1,25.2209,250,0
easy,ga,greedy_stoch,8,8,11296,1,24.9611,250,0
easy,ga,greedy_stoch,9,9,11296,1,25.1412,250,0
easy,ga,greedy_stoch,10,10,11546,1,24.8773,250,0
