instance,algorithm,start,run,seed,FO,feasible,time_ms,iters,best_iter
hard,greedy_det,-,1,0,8781,1,2.6261,0,0
hard,greedy_stoch,-,1,1,8211,1,2.3903,0,0
hard,greedy_stoch,-,2,2,8132,1,3.077,0,0
hard,greedy_stoch,-,3,3,8353,1,2.6238,0,0
hard,greedy_stoch,-,4,4,7863,1,2.5797,0,0
hard,greedy_stoch,-,5,5,8932,1,2.9586,0,0
hard,greedy_stoch,-,6,6,8475,1,2.2272,0,0
hard,greedy_stoch,-,7,7,8254,1,2.6124,0,0
hard,greedy_stoch,-,8,8,8357,1,3.3133,0,0
hard,greedy_stoch,-,9,9,8488,1,2.9151,0,0
hard,greedy_stoch,-,10,10,8575,1,3.2813,0,0
hard,sa,det,1,1,9368,1,6986.37,80000,46226
hard,sa,det,2,2,9587,1,6848.84,80000,58041
hard,sa,det,3,3,8908,1,18550.1,80000,1
hard,sa,det,4,4,10339,1,8783.89,80000,42319
hard,sa,det,5,5,9224,1,7122.43,80000,24079
hard,sa,det,6,6,9476,1,7482.76,80000,52039
hard,sa,det,7,7,9883,1,7541.02,80000,22441
hard,sa,det,8,8,9840,1,7163.79,80000,19159
hard,sa,det,9,9,8781,1,7156.98,80000,0
hard,sa,det,10,10,9100,1,6874.62,80000,19854
hard,sa,stoch,1,1,9030,1,6966.81,80000,17519
hard,sa,stoch,2,2,9883,1,7147.49,80000,41070
hard,sa,stoch,3,3,9749,1,6915.43,80000,37474
hard,sa,stoch,4,4,9203,1,6829.01,80000,30041
hard,sa,stoch,5,5,10022,1,6764.98,80000,42594
hard,sa,stoch,6,6,9840,1,6888.98,80000,25587
hard,sa,stoch,7,7,9615,1,6961.86,80000,33718
hard,sa,stoch,8,8,9066,1,6685.61,80000,26282
hard,sa,stoch,9,9,9588,1,6850.2,80000,19587
hard,sa,stoch,10,10,9842,1,6775.89,80000,24819
hard,ga,greedy_stoch,1,1,9407,1,63.8618,150,0
hard,ga,greedy_stoch,2,2,9518,1,69.5709,150,0
hard,ga,greedy_stoch,3,3,9507,1,67.0034,150,0
hard,ga,greedy_stoch,4,4,9137,1,66.2267,150,0
hard,ga,greedy_stoch,5,5,9418,1,64.7724,150,0
hard,ga,greedy_stoch,6,6,9233,1,63.113,150,0
hard,ga,greedy_stoch,7,7,9245,1,62.3631,150,0
hard,ga,greedy_stoch,8,8,9170,1,70.0772,150,0
hard,ga,greedy_stoch,9,9,9274,1,65.1646,150,0
hard,ga,greedy_stoch,10,10,8941,1,65.8064,150,0
