instance,algorithm,start,run,seed,FO,feasible,time_ms,iters,best_iter
medium1,greedy_det,-,1,0,10547,1,0.4932,0,0
medium1,greedy_stoch,-,1,1,10591,1,0.5115,0,0
medium1,greedy_stoch,-,2,2,7942,1,0.4241,0,0
medium1,greedy_stoch,-,3,3,9709,1,0.4464,0,0
medium1,greedy_stoch,-,4,4,10177,1,0.4482,0,0
medium1,greedy_stoch,-,5,5,9868,1,0.4495,0,0
medium1,greedy_stoch,-,6,6,9159,1,0.4358,0,0
medium1,greedy_stoch,-,7,7,10011,1,0.4461,0,0
medium1,greedy_stoch,-,8,8,9367,1,0.4338,0,0
medium1,greedy_stoch,-,9,9,9812,1,0.6329,0,0
medium1,greedy_stoch,-,10,10,10079,1,0.5812,0,0
medium1,sa,det,1,1,10920,1,468.874,37000,8337
medium1,sa,det,2,2,10547,1,493.755,37000,0
medium1,sa,det,3,3,10920,1,476.367,37000,10222
medium1,sa,det,4,4,10909,1,500.482,37000,26543
medium1,sa,det,5,5,10920,1,521.959,37000,6999
medium1,sa,det,6,6,10573,1,454.622,37000,8240
medium1,sa,det,7,7,10547,1,466.659,37000,0
medium1,sa,det,8,8,10547,1,479.482,37000,0
medium1,sa,det,9,9,10593,1,509.698,37000,26571
medium1,sa,det,10,10,10638,1,475.623,37000,6281
medium1,sa,stoch,1,1,10666,1,463.702,37000,9952
medium1,sa,stoch,2,2,10748,1,536.963,37000,8782
medium1,sa,stoch,3,3,10591,1,543.144,37000,0
medium1,sa,stoch,4,4,10909,1,506.51,37000,26669
medium1,sa,stoch,5,5,10591,1,468.575,37000,0
medium1,sa,stoch,6,6,10591,1,458.201,37000,0
medium1,sa,stoch,7,7,10591,1,445.846,37000,0
medium1,sa,stoch,8,8,10591,1,452.081,37000,0
medium1,sa,stoch,9,9,10639,1,450.821,37000,16203
medium1,sa,stoch,10,10,10874,1,472.799,37000,6203
medium1,ga,greedy_stoch,1,1,10614,1,56.8132,250,0
medium1,ga,greedy_stoch,2,2,10623,1,54.788,250,0
medium1,ga,greedy_stoch,3,3,10614,1,58.5823,250,0
medium1,ga,greedy_stoch,4,4,10605,1,64.4368,250,0
medium1,ga,greedy_stoch,5,5,10547,1,53.2422,250,0
medium1,ga,greedy_stoch,6,6,10748,1,55.0069,250,0
medium1,ga,greedy_stoch,7,7,10794,1,55.6698,250,0
medium1,ga,greedy_stoch,8,8,10794,1,59.691,250,0
medium1,ga,greedy_stoch,9,9,10614,1,53.7114,250,0
medium1,ga,greedy_stoch,10,10,10447,1,60.6535,250,0
